year_month,product_id,product_name,category,launch_date,unit_price,units_sold,revenue,material_cost,manufacturing_cost,logistics_cost,total_cost,gross_profit,gross_margin_pct
2025-09-01,P0036,ハブベアリング 小型,自動車部品,2022-04-18,3939,5923,23330697,17496253,2333069,1166534,20995856,2334841,10.01
2025-10-01,P0036,ハブベアリング 小型,自動車部品,2022-04-18,4029,6232,25108728,22218977,2510872,1255436,25985285,-876557,-3.49
2025-11-01,P0036,ハブベアリング 小型,自動車部品,2022-04-18,4016,5826,23397216,20704442,2339721,1169860,24214023,-816807,-3.49
2025-12-01,P0036,ハブベアリング 小型,自動車部品,2022-04-18,4011,4910,19694010,17427436,1969401,984700,20381537,-687527,-3.49
2026-01-01,P0036,ハブベアリング 小型,自動車部品,2022-04-18,4057,4385,17789945,15742509,1778994,889497,18411000,-621055,-3.49
2026-02-01,P0036,ハブベアリング 小型,自動車部品,2022-04-18,3948,4616,18223968,16126581,1822396,911198,18860175,-636207,-3.49
2026-03-01,P0036,ハブベアリング 小型,自動車部品,2022-04-18,4012,5981,23995772,21234111,2399577,1199788,24833476,-837704,-3.49
2024-04-01,P0037,ハブベアリング 中型,自動車部品,2020-07-19,6237,1265,7889805,5166746,788980,394490,6350216,1539589,19.51
2024-05-01,P0037,ハブベアリング 中型,自動車部品,2020-07-19,6265,1285,8050525,5271996,805052,402526,6479574,1570951,19.51
2024-06-01,P0037,ハブベアリング 中型,自動車部品,2020-07-19,6238,1150,7173700,4697795,717370,358685,5773850,1399850,19.51
2024-07-01,P0037,ハブベアリング 中型,自動車部品,2020-07-19,6281,1062,6670422,4368216,667042,333521,5368779,1301643,19.51
2024-08-01,P0037,ハブベアリング 中型,自動車部品,2020-07-19,6245,1055,6588475,4314552,658847,329423,5302822,1285653,19.51
2024-09-01,P0037,ハブベアリング 中型,自動車部品,2020-07-19,6334,1110,7030740,4604175,703074,351537,5658786,1371954,19.51
2024-10-01,P0037,ハブベアリング 中型,自動車部品,2020-07-19,6371,1131,7205601,4718686,720560,360280,5799526,1406075,19.51
2024-11-01,P0037,ハブベアリング 中型,自動車部品,2020-07-19,6305,1639,10333895,6767292,1033389,516694,8317375,2016520,19.51
2024-12-01,P0037,ハブベアリング 中型,自動車部品,2020-07-19,6222,1541,9588102,6278899,958810,479405,7717114,1870988,19.51
2025-01-01,P0037,ハブベアリング 中型,自動車部品,2020-07-19,6379,1034,6595886,4319405,659588,329794,5308787,1287099,19.51
2025-02-01,P0037,ハブベアリング 中型,自動車部品,2020-07-19,6410,1397,8954770,5864153,895477,447738,7207368,1747402,19.51
2025-03-01,P0037,ハブベアリング 中型,自動車部品,2020-07-19,6394,1145,7321130,4794341,732113,366056,5892510,1428620,19.51
2025-04-01,P0037,ハブベアリング 中型,自動車部品,2020-07-19,6274,1142,7164908,4692037,716490,358245,5766772,1398136,19.51
2025-05-01,P0037,ハブベアリング 中型,自動車部品,2020-07-19,6449,1044,6732756,4409037,673275,336637,5418949,1313807,19.51
2025-06-01,P0037,ハブベアリング 中型,自動車部品,2020-07-19,6406,1044,6687864,4379638,668786,334393,5382817,1305047,19.51
2025-07-01,P0037,ハブベアリング 中型,自動車部品,2020-07-19,6383,1202,7672366,5024353,767236,383618,6175207,1497159,19.51
2025-08-01,P0037,ハブベアリング 中型,自動車部品,2020-07-19,6414,1166,7478724,4897544,747872,373936,6019352,1459372,19.51
2025-09-01,P0037,ハブベアリング 中型,自動車部品,2020-07-19,6197,1105,6847685,4484299,684768,342384,5511451,1336234,19.51
2025-10-01,P0037,ハブベアリング 中型,自動車部品,2020-07-19,6287,1381,8682347,6709188,868234,434117,8011539,670808,7.73
2025-11-01,P0037,ハブベアリング 中型,自動車部品,2020-07-19,6244,1182,7380408,5703129,738040,369020,6810189,570219,7.73
2025-12-01,P0037,ハブベアリング 中型,自動車部品,2020-07-19,6215,1239,7700385,5950388,770038,385019,7105445,594940,7.73
2026-01-01,P0037,ハブベアリング 中型,自動車部品,2020-07-19,6429,1041,6692589,5171625,669258,334629,6175512,517077,7.73
2026-02-01,P0037,ハブベアリング 中型,自動車部品,2020-07-19,6445,1170,7540650,5826954,754065,377032,6958051,582599,7.73
2026-03-01,P0037,ハブベアリング 中型,自動車部品,2020-07-19,6233,1650,10284450,7947196,1028445,514222,9489863,794587,7.73
2024-04-01,P0038,ハブベアリング 大型,自動車部品,2023-02-23,10801,1836,19830636,13707491,1983063,991531,16682085,3148551,15.88
2024-05-01,P0038,ハブベアリング 大型,自動車部品,2023-02-23,10586,1480,15667280,10829663,1566728,783364,13179755,2487525,15.88
2024-06-01,P0038,ハブベアリング 大型,自動車部品,2023-02-23,10764,1543,16608852,11480504,1660885,830442,13971831,2637021,15.88
2024-07-01,P0038,ハブベアリング 大型,自動車部品,2023-02-23,10793,1998,21564414,14905927,2156441,1078220,18140588,3423826,15.88
2024-08-01,P0038,ハブベアリング 大型,自動車部品,2023-02-23,10927,1712,18707024,12930819,1870702,935351,15736872,2970152,15.88
2024-09-01,P0038,ハブベアリング 大型,自動車部品,2023-02-23,10522,1990,20938780,14473472,2093878,1046939,17614289,3324491,15.88
2024-10-01,P0038,ハブベアリング 大型,自動車部品,2023-02-23,10661,2237,23848657,16484860,2384865,1192432,20062157,3786500,15.88
2024-11-01,P0038,ハブベアリング 大型,自動車部品,2023-02-23,10723,1639,17574997,12148331,1757499,878749,14784579,2790418,15.88
2024-12-01,P0038,ハブベアリング 大型,自動車部品,2023-02-23,10615,2292,24329580,16817288,2432958,1216479,20466725,3862855,15.88
2025-01-01,P0038,ハブベアリング 大型,自動車部品,2023-02-23,10580,1852,19594160,13544033,1959416,979708,16483157,3111003,15.88
2025-02-01,P0038,ハブベアリング 大型,自動車部品,2023-02-23,10540,1529,16115660,11139596,1611566,805783,13556945,2558715,15.88
2025-03-01,P0038,ハブベアリング 大型,自動車部品,2023-02-23,10876,2230,24253480,16764685,2425348,1212674,20402707,3850773,15.88
2025-04-01,P0038,ハブベアリング 大型,自動車部品,2023-02-23,10629,1513,16081677,11116106,1608167,804083,13528356,2553321,15.88
2025-05-01,P0038,ハブベアリング 大型,自動車部品,2023-02-23,10517,1550,16301350,11267950,1630135,815067,13713152,2588198,15.88
2025-06-01,P0038,ハブベアリング 大型,自動車部品,2023-02-23,10805,1898,20507890,14175628,2050789,1025394,17251811,3256079,15.88
2025-07-01,P0038,ハブベアリング 大型,自動車部品,2023-02-23,10671,1771,18898341,13063063,1889834,944917,15897814,3000527,15.88
2025-08-01,P0038,ハブベアリング 大型,自動車部品,2023-02-23,10545,1614,17019630,11764445,1701963,850981,14317389,2702241,15.88
2025-09-01,P0038,ハブベアリング 大型,自動車部品,2023-02-23,10905,1601,17458905,12068084,1745890,872945,14686919,2771986,15.88
2025-10-01,P0038,ハブベアリング 大型,自動車部品,2023-02-23,10901,2155,23491655,19160947,2349165,1174582,22684694,806961,3.44
2025-11-01,P0038,ハブベアリング 大型,自動車部品,2023-02-23,10784,2385,25719840,20978364,2571984,1285992,24836340,883500,3.44
2025-12-01,P0038,ハブベアリング 大型,自動車部品,2023-02-23,10684,2285,24412940,19912392,2441294,1220647,23574333,838607,3.44
2026-01-01,P0038,ハブベアリング 大型,自動車部品,2023-02-23,10532,1489,15682148,12791129,1568214,784107,15143450,538698,3.44
2026-02-01,P0038,ハブベアリング 大型,自動車部品,2023-02-23,10546,1568,16536128,13487678,1653612,826806,15968096,568032,3.44
2026-03-01,P0038,ハブベアリング 大型,自動車部品,2023-02-23,10806,1923,20779938,16949137,2077993,1038996,20066126,713812,3.44
2024-04-01,P0039,ハブベアリング 業務用,自動車部品,2021-08-31,14118,1997,28193646,19264026,2819364,1409682,23493072,4700574,16.67
2024-05-01,P0039,ハブベアリング 業務用,自動車部品,2021-08-31,14237,2118,30153966,20603465,3015396,1507698,25126559,5027407,16.67
2024-06-01,P0039,ハブベアリング 業務用,自動車部品,2021-08-31,14195,1633,23180435,15838622,2318043,1159021,19315686,3864749,16.67
2024-07-01,P0039,ハブベアリング 業務用,自動車部品,2021-08-31,14191,1702,24153082,16503208,2415308,1207654,20126170,4026912,16.67
2024-08-01,P0039,ハブベアリング 業務用,自動車部品,2021-08-31,14469,1939,28055391,19169560,2805539,1402769,23377868,4677523,16.67
2024-09-01,P0039,ハブベアリング 業務用,自動車部品,2021-08-31,14114,2187,30867318,21090880,3086731,1543365,25720976,5146342,16.67
2024-10-01,P0039,ハブベアリング 業務用,自動車部品,2021-08-31,14422,2392,34497424,23571243,3449742,1724871,28745856,5751568,16.67
2024-11-01,P0039,ハブベアリング 業務用,自動車部品,2021-08-31,14405,1959,28219395,19281620,2821939,1410969,23514528,4704867,16.67
2024-12-01,P0039,ハブベアリング 業務用,自動車部品,2021-08-31,14286,2116,30229176,20654854,3022917,1511458,25189229,5039947,16.67
2025-01-01,P0039,ハブベアリング 業務用,自動車部品,2021-08-31,14331,1714,24563334,16783523,2456333,1228166,20468022,4095312,16.67
2025-02-01,P0039,ハブベアリング 業務用,自動車部品,2021-08-31,14128,1704,24074112,16449249,2407411,1203705,20060365,4013747,16.67
2025-03-01,P0039,ハブベアリング 業務用,自動車部品,2021-08-31,14581,1903,27747643,18959283,2774764,1387382,23121429,4626214,16.67
2025-04-01,P0039,ハブベアリング 業務用,自動車部品,2021-08-31,14238,1761,25073118,17131846,2507311,1253655,20892812,4180306,16.67
2025-05-01,P0039,ハブベアリング 業務用,自動車部品,2021-08-31,14549,1790,26042710,17794344,2604271,1302135,21700750,4341960,16.67
2025-06-01,P0039,ハブベアリング 業務用,自動車部品,2021-08-31,14561,2080,30286880,20694281,3028688,1514344,25237313,5049567,16.67
2025-07-01,P0039,ハブベアリング 業務用,自動車部品,2021-08-31,14100,1679,23673900,16175794,2367390,1183695,19726879,3947021,16.67
2025-08-01,P0039,ハブベアリング 業務用,自動車部品,2021-08-31,14232,1763,25091016,17144075,2509101,1254550,20907726,4183290,16.67
2025-09-01,P0039,ハブベアリング 業務用,自動車部品,2021-08-31,14538,2273,33044874,22578751,3304487,1652243,27535481,5509393,16.67
2025-10-01,P0039,ハブベアリング 業務用,自動車部品,2021-08-31,14591,2107,30743237,24787197,3074323,1537161,29398681,1344556,4.37
2025-11-01,P0039,ハブベアリング 業務用,自動車部品,2021-08-31,14189,2279,32336731,26071975,3233673,1616836,30922484,1414247,4.37
2025-12-01,P0039,ハブベアリング 業務用,自動車部品,2021-08-31,14055,2121,29810655,24035289,2981065,1490532,28506886,1303769,4.37
2026-01-01,P0039,ハブベアリング 業務用,自動車部品,2021-08-31,14092,2275,32059300,25848292,3205930,1602965,30657187,1402113,4.37
2026-02-01,P0039,ハブベアリング 業務用,自動車部品,2021-08-31,14358,1873,26892534,21682510,2689253,1344626,25716389,1176145,4.37
2026-03-01,P0039,ハブベアリング 業務用,自動車部品,2021-08-31,14080,1823,25667840,20695082,2566784,1283392,24545258,1122582,4.37
2024-04-01,P0040,ハブベアリング HD,自動車部品,2019-03-23,19355,2859,55335945,43107189,5533594,2766797,51407580,3928365,7.1
2024-05-01,P0040,ハブベアリング HD,自動車部品,2019-03-23,19162,3228,61854936,48185540,6185493,3092746,57463779,4391157,7.1
2024-06-01,P0040,ハブベアリング HD,自動車部品,2019-03-23,19577,3180,62254860,48497085,6225486,3112743,57835314,4419546,7.1
2024-07-01,P0040,ハブベアリング HD,自動車部品,2019-03-23,19094,3859,73683746,57400288,7368374,3684187,68452849,5230897,7.1
2024-08-01,P0040,ハブベアリング HD,自動車部品,2019-03-23,19446,3655,71075130,55368153,7107513,3553756,66029422,5045708,7.1
2024-09-01,P0040,ハブベアリング HD,自動車部品,2019-03-23,19535,3838,74975330,58406443,7497533,3748766,69652742,5322588,7.1
2024-10-01,P0040,ハブベアリング HD,自動車部品,2019-03-23,19620,4125,80932500,63047131,8093250,4046625,75187006,5745494,7.1
2024-11-01,P0040,ハブベアリング HD,自動車部品,2019-03-23,19398,3969,76990662,59976405,7699066,3849533,71525004,5465658,7.1
2024-12-01,P0040,ハブベアリング HD,自動車部品,2019-03-23,19067,3545,67592515,52655165,6759251,3379625,62794041,4798474,7.1
2025-01-01,P0040,ハブベアリング HD,自動車部品,2019-03-23,19011,3871,73591581,57328490,7359158,3679579,68367227,5224354,7.1
2025-02-01,P0040,ハブベアリング HD,自動車部品,2019-03-23,19058,3306,63005748,49082033,6300574,3150287,58532894,4472854,7.1
2025-03-01,P0040,ハブベアリング HD,自動車部品,2019-03-23,19480,3501,68199480,53127996,6819948,3409974,63357918,4841562,7.1
2025-04-01,P0040,ハブベアリング HD,自動車部品,2019-03-23,19311,3628,70060308,54577598,7006030,3503015,65086643,4973665,7.1
2025-05-01,P0040,ハブベアリング HD,自動車部品,2019-03-23,19321,2885,55741085,43422797,5574108,2787054,51783959,3957126,7.1
2025-06-01,P0040,ハブベアリング HD,自動車部品,2019-03-23,19543,3418,66797974,52036211,6679797,3339898,62055906,4742068,7.1
2025-07-01,P0040,ハブベアリング HD,自動車部品,2019-03-23,19366,3372,65302152,50870952,6530215,3265107,60666274,4635878,7.1
2025-08-01,P0040,ハブベアリング HD,自動車部品,2019-03-23,19734,3071,60603114,47210360,6060311,3030155,56300826,4302288,7.1
2025-09-01,P0040,ハブベアリング HD,自動車部品,2019-03-23,19370,4004,77557480,60417961,7755748,3877874,72051583,5505897,7.1
2025-10-01,P0040,ハブベアリング HD,自動車部品,2019-03-23,19006,3782,71880692,66074918,7188069,3594034,76857021,-4976329,-6.92
2025-11-01,P0040,ハブベアリング HD,自動車部品,2019-03-23,19232,4703,90448096,83142640,9044809,4522404,96709853,-6261757,-6.92
2025-12-01,P0040,ハブベアリング HD,自動車部品,2019-03-23,19760,3441,67994160,62502299,6799416,3399708,72701423,-4707263,-6.92
2026-01-01,P0040,ハブベアリング HD,自動車部品,2019-03-23,19022,3950,75136900,69068123,7513690,3756845,80338658,-5201758,-6.92
2026-02-01,P0040,ハブベアリング HD,自動車部品,2019-03-23,19005,2995,56919975,52322572,5691997,2845998,60860567,-3940592,-6.92
2026-03-01,P0040,ハブベアリング HD,自動車部品,2019-03-23,19040,4154,79092160,72703918,7909216,3954608,84567742,-5475582,-6.92
2024-04-01,P0041,トランスミッションギア 小型,自動車部品,2019-02-10,11242,2622,29476524,22583381,2947652,1473826,27004859,2471665,8.39
2024-05-01,P0041,トランスミッションギア 小型,自動車部品,2019-02-10,11128,2336,25995008,19916025,2599500,1299750,23815275,2179733,8.39
2024-06-01,P0041,トランスミッションギア 小型,自動車部品,2019-02-10,11328,1940,21976320,16837115,2197632,1098816,20133563,1842757,8.39
2024-07-01,P0041,トランスミッションギア 小型,自動車部品,2019-02-10,11035,1778,19620230,15032001,1962023,981011,17975035,1645195,8.39
2024-08-01,P0041,トランスミッションギア 小型,自動車部品,2019-02-10,11003,1846,20311538,15561645,2031153,1015576,18608374,1703164,8.39
2024-09-01,P0041,トランスミッションギア 小型,自動車部品,2019-02-10,11315,2288,25888720,19834592,2588872,1294436,23717900,2170820,8.39
2024-10-01,P0041,トランスミッションギア 小型,自動車部品,2019-02-10,11268,2765,31156020,23870124,3115602,1557801,28543527,2612493,8.39
2024-11-01,P0041,トランスミッションギア 小型,自動車部品,2019-02-10,11180,2943,32902740,25208370,3290274,1645137,30143781,2758959,8.39
2024-12-01,P0041,トランスミッションギア 小型,自動車部品,2019-02-10,11224,2811,31550664,24172480,3155066,1577533,28905079,2645585,8.39
2025-01-01,P0041,トランスミッションギア 小型,自動車部品,2019-02-10,11421,2089,23858469,18279119,2385846,1192923,21857888,2000581,8.39
2025-02-01,P0041,トランスミッションギア 小型,自動車部品,2019-02-10,11009,2138,23537242,18033012,2353724,1176862,21563598,1973644,8.39
2025-03-01,P0041,トランスミッションギア 小型,自動車部品,2019-02-10,11162,2319,25884678,19831495,2588467,1294233,23714195,2170483,8.39
2025-04-01,P0041,トランスミッションギア 小型,自動車部品,2019-02-10,11233,2099,23578067,18064290,2357806,1178903,21600999,1977068,8.39
2025-05-01,P0041,トランスミッションギア 小型,自動車部品,2019-02-10,11128,2574,28643472,21945140,2864347,1432173,26241660,2401812,8.39
2025-06-01,P0041,トランスミッションギア 小型,自動車部品,2019-02-10,11150,2369,26414350,20237303,2641435,1320717,24199455,2214895,8.39
2025-07-01,P0041,トランスミッションギア 小型,自動車部品,2019-02-10,11068,2387,26419316,20241107,2641931,1320965,24204003,2215313,8.39
2025-08-01,P0041,トランスミッションギア 小型,自動車部品,2019-02-10,11223,1680,18854640,14445445,1885464,942732,17273641,1580999,8.39
2025-09-01,P0041,トランスミッションギア 小型,自動車部品,2019-02-10,11354,2511,28509894,21842800,2850989,1425494,26119283,2390611,8.39
2025-10-01,P0041,トランスミッションギア 小型,自動車部品,2019-02-10,11344,2556,28995264,26213305,2899526,1449763,30562594,-1567330,-5.41
2025-11-01,P0041,トランスミッションギア 小型,自動車部品,2019-02-10,11012,2474,27243688,24629784,2724368,1362184,28716336,-1472648,-5.41
2025-12-01,P0041,トランスミッションギア 小型,自動車部品,2019-02-10,11014,2088,22997232,20790756,2299723,1149861,24240340,-1243108,-5.41
2026-01-01,P0041,トランスミッションギア 小型,自動車部品,2019-02-10,11219,2189,24558391,22202129,2455839,1227919,25885887,-1327496,-5.41
2026-02-01,P0041,トランスミッションギア 小型,自動車部品,2019-02-10,11249,2215,24916535,22525910,2491653,1245826,26263389,-1346854,-5.41
2026-03-01,P0041,トランスミッションギア 小型,自動車部品,2019-02-10,11301,2565,28987065,26205892,2898706,1449353,30553951,-1566886,-5.41
2024-04-01,P0042,トランスミッションギア 中型,自動車部品,2022-11-09,18177,3084,56057868,49251069,5605786,2802893,57659748,-1601880,-2.86
2024-05-01,P0042,トランスミッションギア 中型,自動車部品,2022-11-09,18360,3439,63140040,55473292,6314004,3157002,64944298,-1804258,-2.86
2024-06-01,P0042,トランスミッションギア 中型,自動車部品,2022-11-09,18165,3241,58872765,51724169,5887276,2943638,60555083,-1682318,-2.86
2024-07-01,P0042,トランスミッションギア 中型,自動車部品,2022-11-09,18397,3395,62457815,54873906,6245781,3122890,64242577,-1784762,-2.86
2024-08-01,P0042,トランスミッションギア 中型,自動車部品,2022-11-09,18246,2541,46363086,40733471,4636308,2318154,47687933,-1324847,-2.86
2024-09-01,P0042,トランスミッションギア 中型,自動車部品,2022-11-09,17950,4051,72715450,63886013,7271545,3635772,74793330,-2077880,-2.86
2024-10-01,P0042,トランスミッションギア 中型,自動車部品,2022-11-09,18043,4198,75744514,66547274,7574451,3787225,77908950,-2164436,-2.86
2024-11-01,P0042,トランスミッションギア 中型,自動車部品,2022-11-09,18234,3862,70419708,61869030,7041970,3520985,72431985,-2012277,-2.86
2024-12-01,P0042,トランスミッションギア 中型,自動車部品,2022-11-09,18593,2956,54960908,48287307,5496090,2748045,56531442,-1570534,-2.86
2025-01-01,P0042,トランスミッションギア 中型,自動車部品,2022-11-09,18622,3438,64022436,56248544,6402243,3201121,65851908,-1829472,-2.86
2025-02-01,P0042,トランスミッションギア 中型,自動車部品,2022-11-09,18557,3202,59419514,52204529,5941951,2970975,61117455,-1697941,-2.86
2025-03-01,P0042,トランスミッションギア 中型,自動車部品,2022-11-09,18331,4502,82526162,72505464,8252616,4126308,84884388,-2358226,-2.86
2025-04-01,P0042,トランスミッションギア 中型,自動車部品,2022-11-09,18425,2930,53985250,47430118,5398525,2699262,55527905,-1542655,-2.86
2025-05-01,P0042,トランスミッションギア 中型,自動車部品,2022-11-09,18615,3391,63123465,55458730,6312346,3156173,64927249,-1803784,-2.86
2025-06-01,P0042,トランスミッションギア 中型,自動車部品,2022-11-09,18120,3416,61897920,54381996,6189792,3094896,63666684,-1768764,-2.86
2025-07-01,P0042,トランスミッションギア 中型,自動車部品,2022-11-09,18435,2695,49682325,43649673,4968232,2484116,51102021,-1419696,-2.86
2025-08-01,P0042,トランスミッションギア 中型,自動車部品,2022-11-09,17944,3540,63521760,55808662,6352176,3176088,65336926,-1815166,-2.86
2025-09-01,P0042,トランスミッションギア 中型,自動車部品,2022-11-09,18602,3838,71394476,62725437,7139447,3569723,73434607,-2040131,-2.86
2025-10-01,P0042,トランスミッションギア 中型,自動車部品,2022-11-09,18004,3051,54930204,56947191,5493020,2746510,65186721,-10256517,-18.67
2025-11-01,P0042,トランスミッションギア 中型,自動車部品,2022-11-09,18398,4147,76296506,79098044,7629650,3814825,90542519,-14246013,-18.67
2025-12-01,P0042,トランスミッションギア 中型,自動車部品,2022-11-09,18534,3042,56380428,58450666,5638042,2819021,66907729,-10527301,-18.67
2026-01-01,P0042,トランスミッションギア 中型,自動車部品,2022-11-09,18587,3534,65686458,68098405,6568645,3284322,77951372,-12264914,-18.67
2026-02-01,P0042,トランスミッションギア 中型,自動車部品,2022-11-09,18518,4030,74627540,77367795,7462754,3731377,88561926,-13934386,-18.67
2026-03-01,P0042,トランスミッションギア 中型,自動車部品,2022-11-09,18108,3875,70168500,72745023,7016850,3508425,83270298,-13101798,-18.67
2024-04-01,P0043,トランスミッションギア 大型,自動車部品,2019-05-04,28293,443,12533799,9673406,1253379,626689,11553474,980325,7.82
2024-05-01,P0043,トランスミッションギア 大型,自動車部品,2019-05-04,28127,450,12657150,9768607,1265715,632857,11667179,989971,7.82
2024-06-01,P0043,トランスミッションギア 大型,自動車部品,2019-05-04,27889,456,12717384,9815095,1271738,635869,11722702,994682,7.82
2024-07-01,P0043,トランスミッションギア 大型,自動車部品,2019-05-04,28249,446,12599054,9723769,1259905,629952,11613626,985428,7.82
2024-08-01,P0043,トランスミッションギア 大型,自動車部品,2019-05-04,27617,526,14526542,11211377,1452654,726327,13390358,1136184,7.82
2024-09-01,P0043,トランスミッションギア 大型,自動車部品,2019-05-04,28520,633,18053160,13933170,1805316,902658,16641144,1412016,7.82
2024-10-01,P0043,トランスミッションギア 大型,自動車部品,2019-05-04,28293,546,15447978,11922528,1544797,772398,14239723,1208255,7.82
2024-11-01,P0043,トランスミッションギア 大型,自動車部品,2019-05-04,27726,587,16275162,12560937,1627516,813758,15002211,1272951,7.82
2024-12-01,P0043,トランスミッションギア 大型,自動車部品,2019-05-04,27649,589,16285261,12568731,1628526,814263,15011520,1273741,7.82
2025-01-01,P0043,トランスミッションギア 大型,自動車部品,2019-05-04,28592,639,18270288,14100747,1827028,913514,16841289,1428999,7.82
2025-02-01,P0043,トランスミッションギア 大型,自動車部品,2019-05-04,28185,626,17643810,13617240,1764381,882190,16263811,1379999,7.82
2025-03-01,P0043,トランスミッションギア 大型,自動車部品,2019-05-04,28659,624,17883216,13802010,1788321,894160,16484491,1398725,7.82
2025-04-01,P0043,トランスミッションギア 大型,自動車部品,2019-05-04,27638,474,13100412,10110710,1310041,655020,12075771,1024641,7.82
2025-05-01,P0043,トランスミッションギア 大型,自動車部品,2019-05-04,27922,540,15077880,11636892,1507788,753894,13898574,1179306,7.82
2025-06-01,P0043,トランスミッションギア 大型,自動車部品,2019-05-04,27560,515,14193400,10954263,1419340,709670,13083273,1110127,7.82
2025-07-01,P0043,トランスミッションギア 大型,自動車部品,2019-05-04,27849,519,14453631,11155105,1445363,722681,13323149,1130482,7.82
2025-08-01,P0043,トランスミッションギア 大型,自動車部品,2019-05-04,27598,413,11397974,8796793,1139797,569898,10506488,891486,7.82
2025-09-01,P0043,トランスミッションギア 大型,自動車部品,2019-05-04,28541,525,14984025,11564456,1498402,749201,13812059,1171966,7.82
2025-10-01,P0043,トランスミッションギア 大型,自動車部品,2019-05-04,28316,545,15432220,14054232,1543222,771611,16369065,-936845,-6.07
2025-11-01,P0043,トランスミッションギア 大型,自動車部品,2019-05-04,27921,673,18790833,17112945,1879083,939541,19931569,-1140736,-6.07
2025-12-01,P0043,トランスミッションギア 大型,自動車部品,2019-05-04,28330,658,18641140,16976619,1864114,932057,19772790,-1131650,-6.07
2026-01-01,P0043,トランスミッションギア 大型,自動車部品,2019-05-04,27553,568,15650104,14252661,1565010,782505,16600176,-950072,-6.07
2026-02-01,P0043,トランスミッションギア 大型,自動車部品,2019-05-04,28667,452,12957484,11800473,1295748,647874,13744095,-786611,-6.07
2026-03-01,P0043,トランスミッションギア 大型,自動車部品,2019-05-04,28607,679,19424153,17689714,1942415,971207,20603336,-1179183,-6.07
2024-04-01,P0044,トランスミッションギア 業務用,自動車部品,2023-02-25,38673,7002,270788346,182323114,27078834,13539417,222941365,47846981,17.67
2024-05-01,P0044,トランスミッションギア 業務用,自動車部品,2023-02-25,38669,8495,328493155,221176044,32849315,16424657,270450016,58043139,17.67
2024-06-01,P0044,トランスミッションギア 業務用,自動車部品,2023-02-25,37903,7321,277487863,186833932,27748786,13874393,228457111,49030752,17.67
2024-07-01,P0044,トランスミッションギア 業務用,自動車部品,2023-02-25,38675,9033,349351275,235219918,34935127,17467563,287622608,61728667,17.67
2024-08-01,P0044,トランスミッションギア 業務用,自動車部品,2023-02-25,37923,8123,308048529,207410577,30804852,15402426,253617855,54430674,17.67
2024-09-01,P0044,トランスミッションギア 業務用,自動車部品,2023-02-25,38940,8428,328186320,220969450,32818632,16409316,270197398,57988922,17.67
2024-10-01,P0044,トランスミッションギア 業務用,自動車部品,2023-02-25,38146,9343,356398078,239964565,35639807,17819903,293424275,62973803,17.67
2024-11-01,P0044,トランスミッションギア 業務用,自動車部品,2023-02-25,38088,10242,390097296,262654413,39009729,19504864,321169006,68928290,17.67
2024-12-01,P0044,トランスミッションギア 業務用,自動車部品,2023-02-25,38123,9778,372766694,250985634,37276669,18638334,306900637,65866057,17.67
2025-01-01,P0044,トランスミッションギア 業務用,自動車部品,2023-02-25,38852,10312,400641824,269754095,40064182,20032091,329850368,70791456,17.67
2025-02-01,P0044,トランスミッションギア 業務用,自動車部品,2023-02-25,38325,10697,409962525,276029768,40996252,20498126,337524146,72438379,17.67
2025-03-01,P0044,トランスミッションギア 業務用,自動車部品,2023-02-25,38540,9800,377692000,254301866,37769200,18884600,310955666,66736334,17.67
2025-04-01,P0044,トランスミッションギア 業務用,自動車部品,2023-02-25,38323,9837,376983351,253824729,37698335,18849167,310372231,66611120,17.67
2025-05-01,P0044,トランスミッションギア 業務用,自動車部品,2023-02-25,38608,9357,361255056,243234792,36125505,18062752,297423049,63832007,17.67
2025-06-01,P0044,トランスミッションギア 業務用,自動車部品,2023-02-25,38603,9764,376919692,253781868,37691969,18845984,310319821,66599871,17.67
2025-07-01,P0044,トランスミッションギア 業務用,自動車部品,2023-02-25,38224,7252,277200448,186640414,27720044,13860022,228220480,48979968,17.67
2025-08-01,P0044,トランスミッションギア 業務用,自動車部品,2023-02-25,37466,8026,300702116,202464202,30070211,15035105,247569518,53132598,17.67
2025-09-01,P0044,トランスミッションギア 業務用,自動車部品,2023-02-25,38395,10419,400037505,269347204,40003750,20001875,329352829,70684676,17.67
2025-10-01,P0044,トランスミッションギア 業務用,自動車部品,2023-02-25,38710,8156,315718760,250838478,31571876,15785938,298196292,17522468,5.55
2025-11-01,P0044,トランスミッションギア 業務用,自動車部品,2023-02-25,38621,10903,421084763,334551742,42108476,21054238,397714456,23370307,5.55
2025-12-01,P0044,トランスミッションギア 業務用,自動車部品,2023-02-25,38768,9163,355231184,282231089,35523118,17761559,335515766,19715418,5.55
2026-01-01,P0044,トランスミッションギア 業務用,自動車部品,2023-02-25,38334,8807,337607538,268229107,33760753,16880376,318870236,18737302,5.55
2026-02-01,P0044,トランスミッションギア 業務用,自動車部品,2023-02-25,38448,7298,280593504,222931471,28059350,14029675,265020496,15573008,5.55
2026-03-01,P0044,トランスミッションギア 業務用,自動車部品,2023-02-25,38329,10908,418092732,332174574,41809273,20904636,394888483,23204249,5.55
2024-04-01,P0045,トランスミッションギア HD,自動車部品,2021-06-30,52739,14599,769936661,531519674,76993666,38496833,647010173,122926488,15.97
